Date	App Name	App Apple Identifier	Event	Page Type	Page Title	Source Type	Source Info	Campaign	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-04-06	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	US	8	8
2026-05-11	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	ES	8	7
2026-03-18	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	5	5
2026-03-12	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	US	5	5
2026-04-15	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	ES	9	6
2026-04-15	BLW Baby Led Weaning Tracker	6758321287	Page view	Product page	Default product page	App Store search				iPhone	iOS 26.3	MX	6	6
2026-04-15	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	8	5
2026-04-28	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	9	9
2026-04-28	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	ES	5	5
2026-04-28	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	BR	5	5
2026-04-25	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	ES	8	8
2026-04-25	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	12	7
2026-04-25	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	US	5	5
2026-04-25	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	ES	7	6
2026-05-17	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	MX	7	5
2026-05-17	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	BR	8	8
2026-06-15	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	11	9
2026-06-15	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	9	6
2026-06-15	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	5	5
2026-03-14	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPad	iOS 26.3	CN	7	7
2026-07-09	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	7	7
2026-07-09	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	12	11
2026-07-09	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	11	7
