Apple Identifier,Begin Date,CMB,Category,Client,Country Code,Currency of Proceeds,Customer Currency,Customer Price,Developer,Developer Proceeds,Device,End Date,Order Type,Parent Identifier,Period,Preserved Pricing,Proceeds Reason,Product Type Identifier,Promo Code,Provider,Provider Country,SKU,Subscription,Supported Platforms,Title,Units,Version,_report_date
6758321287,05/07/2026,,Health & Fitness, ,MX, ,MXN,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/07/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-07
6758321287,05/06/2026,,Health & Fitness, ,ES, ,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/06/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,3,1.0,2026-05-06
6758321287,05/06/2026,,Health & Fitness, ,VE, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/06/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-06
6758321287,05/06/2026,,Health & Fitness, ,CL, ,CLP,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/06/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,2,1.0,2026-05-06
6758321287,05/06/2026,,Health & Fitness, ,US, ,USD,0.00,Joao Victor Flores da Costa,0.00,Desktop,05/06/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-06
6758321287,05/06/2026,,Health & Fitness, ,BR, ,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/06/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-06
6758321287,05/06/2026,,Health & Fitness, ,MX, ,MXN,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/06/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-06
6758321287,05/05/2026,,Health & Fitness, ,UY, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/05/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-05
6758321287,05/05/2026,,Health & Fitness, ,CO, ,COP,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/05/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-05
6758321287,05/05/2026,,Health & Fitness, ,IN, ,INR,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/05/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-05
6758321287,05/05/2026,,Health & Fitness, ,BR, ,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/05/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-05
6758321287,05/05/2026,,Health & Fitness, ,US, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/05/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-05
6758321287,05/05/2026,,Health & Fitness, ,AU, ,AUD,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/05/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-05
6758321287,05/04/2026,,Health & Fitness, ,ES, ,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/04/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-04
6758321287,05/04/2026,,Health & Fitness, ,BR, ,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/04/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-04
6758321287,05/04/2026,,Health & Fitness, ,MX,MXN,MXN,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/04/2026, , , , , ,3F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-04
6758321287,05/04/2026,,Health & Fitness, ,US, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/04/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-04
6758321287,05/04/2026,,Health & Fitness, ,DO, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/04/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-04
6758321287,05/03/2026,,Health & Fitness, ,CA, ,CAD,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/03/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-03
6758321287,05/03/2026,,Health & Fitness, ,EC, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/03/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-03
6758321287,05/03/2026,,Health & Fitness, ,ES, ,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/03/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-03
6758321287,05/02/2026,,Health & Fitness, ,US, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/02/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-02
6758321287,05/02/2026,,Health & Fitness, ,ES, ,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/02/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,2,1.0,2026-05-02
6758321287,05/01/2026,,Health & Fitness, ,US, ,USD,0.00,Joao Victor Flores da Costa,0.00,Desktop,05/01/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-01
